Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Landslide at Aulise , Barahtal Rural Municipality-8",-,other,Landslide,2026-09-13,Karnali,Surkhet,Barahtal,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ghattekhola , Jugal Rural Municipality-2",-,other,Landslide,2026-09-13,Bagmati,Sindhupalchok,Jugal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Rolpa Municipality-10,-,other,Landslide,2026-09-13,Lumbini,Rolpa,Rolpa,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Bhaktapur Municipality-9,-,other,Landslide,2026-09-13,Bagmati,Bhaktapur,Bhaktapur,9,1360000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Bhimphedi Rural Municipality-9,-,other,Landslide,2026-09-13,Bagmati,Makwanpur,Bhimphedi,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Molung Rural Municipality-1,-,other,Landslide,2026-09-13,Koshi,Okhaldhunga,Molung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Gagane Khola , Shubhakalika Rural Municipality-1",-,other,Landslide,2026-09-13,Karnali,Kalikot,Shubhakalika,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Aakashebhanjyang , Phidim Municipality-11",-,other,Landslide,2026-09-13,Koshi,Panchthar,Phidim,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Tripurasundari Municipality-5,-,other,Landslide,2026-09-13,Karnali,Dolpa,Tripurasundari,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Landslide at Bhumikasthan Municipality-7,-,other,Landslide,2026-09-13,Lumbini,Arghakhanchi,Bhumikasthan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
