Year,Number of incident,People death,People missing,People injured,House destroyed,House affected,Livestock destroyed
2026-09-13,11,0,0,0,0,1,0
2026-09-12,6,0,0,1,1,0,1
2026-09-11,6,1,0,0,0,1,0
2026-09-10,9,0,0,0,1,0,0
2026-09-09,6,0,0,0,1,0,0
2026-09-08,19,0,0,0,0,0,0
2026-09-07,7,0,0,0,0,2,0
2026-09-06,14,1,0,1,0,0,0
2026-09-05,15,0,0,0,0,0,160
2026-09-04,19,2,0,1,2,1,2
2026-09-03,9,0,0,0,0,1,3
2026-09-02,12,0,0,0,0,0,0
2026-09-01,11,0,0,0,1,1,0
2026-08-31,25,0,0,0,0,0,4
2026-08-30,13,0,0,1,1,0,0
2026-08-29,16,0,0,0,1,0,0
2026-08-28,11,0,0,0,0,1,0
2026-08-27,3,0,0,0,0,0,0
2026-08-26,4,1,0,0,0,0,0
2026-08-25,3,0,0,0,1,0,0
2026-08-24,4,0,0,0,0,0,0
2026-08-23,4,0,0,0,0,1,0
2026-08-22,10,0,0,0,0,1,0
2026-08-21,23,0,0,0,0,0,3
2026-08-20,12,0,0,1,4,1,101
2026-08-19,12,0,0,0,3,3,25
2026-08-18,7,0,0,0,2,1,0
2026-08-17,9,0,0,0,4,0,0
2026-08-16,17,0,0,0,0,1,7
2026-08-15,34,1,0,0,0,3,2
2026-08-14,33,2,0,7,2,4,4
2026-08-13,27,3,0,6,6,0,1
2026-08-12,14,0,0,0,7,3,0
2026-08-11,3,5,1,2,9,0,0
2026-08-10,6,1,0,1,0,0,2
2026-08-09,18,0,0,0,0,1,0
2026-08-08,10,0,0,0,0,0,0
2026-08-07,10,0,0,0,0,3,0
2026-08-06,7,0,0,0,0,0,0
2026-08-05,38,0,0,0,1,1,0
2026-08-04,17,0,0,0,0,1,0
2026-08-03,31,0,0,1,2,1,2
2026-08-02,28,0,0,1,1,4,0
2026-08-01,9,0,0,0,0,0,0
2026-07-31,6,0,0,0,0,0,0
2026-07-30,9,0,0,0,0,0,0
2026-07-29,8,0,0,1,0,0,0
2026-07-28,6,0,0,0,0,0,3
2026-07-27,10,1,0,1,0,1,1
2026-07-26,19,1,0,3,2,0,7
2026-07-25,11,1,0,0,0,0,1
2026-07-24,12,3,0,3,0,0,6
2026-07-23,9,0,0,1,0,0,0
2026-07-22,14,0,0,1,0,0,0
2026-07-21,14,1,0,0,1,2,0
2026-07-20,14,0,0,0,0,1,0
2026-07-19,23,0,0,1,0,0,0
2026-07-18,33,0,0,0,2,3,1
2026-07-17,21,1,0,0,0,0,0
2026-07-16,25,0,0,2,1,1,0
2026-07-15,17,1,0,2,0,1,1
2026-07-14,12,0,0,0,0,0,0
2026-07-13,28,0,0,0,0,1,3
2026-07-12,38,2,0,4,2,1,0
2026-07-11,25,1,0,1,1,0,0
2026-07-10,14,0,0,1,0,0,0
2026-07-09,12,0,0,0,0,0,0
2026-07-08,10,0,0,0,0,0,0
2026-07-07,13,0,0,0,0,0,0
2026-07-06,8,0,0,0,0,0,0
2026-07-05,6,0,0,0,0,0,0
2026-07-04,16,0,0,1,0,2,0
2026-07-03,7,0,0,0,0,0,0
2026-07-02,6,0,0,1,1,0,9
2026-07-01,6,0,0,0,0,0,0
2026-06-30,8,0,0,0,0,0,0
2026-06-29,18,1,0,1,0,0,6
2026-06-28,22,1,0,1,0,5,0
2026-06-27,5,0,0,0,0,1,0
2026-06-26,6,0,0,0,0,0,0
2026-06-25,3,0,0,0,0,0,0
2026-06-24,5,0,0,0,0,1,0
2026-06-23,2,1,0,0,0,0,0
2026-06-22,3,0,0,0,0,0,0
2026-06-21,5,0,0,0,0,3,1
2026-06-20,8,0,0,0,0,0,0
2026-06-19,10,0,0,0,0,0,0
2026-06-18,9,0,0,0,0,0,0
2026-06-17,5,0,0,0,0,3,0
2026-06-16,1,0,0,0,0,0,0
2026-06-14,1,0,0,0,0,0,0
2026-06-13,4,0,0,0,0,0,0
2026-06-12,1,1,0,0,0,0,0
2026-06-10,2,0,0,0,0,0,0
2026-06-09,2,0,0,0,0,0,0
2026-06-08,9,0,0,0,0,1,0
2026-06-05,1,0,0,0,0,0,0
2026-06-03,1,0,0,0,0,0,0
2026-06-02,1,0,0,0,0,0,0
2026-05-30,2,0,0,1,0,0,0
2026-05-29,3,0,0,0,0,0,0
2026-05-28,2,0,0,0,0,0,0
2026-05-27,3,1,0,0,0,0,0
2026-05-26,1,0,0,0,0,0,0
2026-05-25,2,0,0,0,0,0,0
2026-05-24,2,0,0,0,0,0,0
2026-05-23,1,0,0,0,0,0,0
2026-05-22,2,0,0,0,0,0,0
2026-05-21,8,0,0,0,0,6,3
2026-05-20,2,0,0,0,0,0,0
2026-05-19,3,0,0,0,0,0,0
2026-05-18,2,0,0,1,0,0,0
2026-05-17,1,0,0,0,0,0,0
2026-05-15,3,0,0,1,0,0,0
2026-05-14,1,0,0,0,0,0,0
2026-05-13,3,0,0,0,0,0,0
2026-05-11,2,0,0,0,0,0,0
2026-05-09,1,0,0,0,0,0,0
2026-05-08,1,0,0,0,0,0,0
2026-05-07,3,0,0,0,0,0,0
2026-05-06,5,0,0,0,0,0,0
2026-05-05,8,0,0,0,0,0,0
2026-05-04,2,0,0,0,0,0,0
2026-05-03,6,0,0,0,0,0,0
2026-05-02,8,0,0,0,0,1,0
2026-04-30,3,1,0,0,0,0,0
2026-04-29,3,0,0,0,0,0,0
2026-04-28,3,0,0,0,0,0,0
2026-04-27,2,0,0,0,0,0,13
2026-04-26,1,0,0,0,0,0,0
2026-04-25,1,0,0,0,0,0,0
2026-04-24,8,0,0,0,0,0,0
2026-04-21,1,0,0,0,0,0,0
2026-04-19,1,1,0,1,0,0,0
2026-04-12,1,0,0,0,0,0,0
2026-04-08,2,0,0,0,0,0,0
2026-04-06,1,0,0,0,0,0,0
2026-04-05,1,0,0,1,0,0,0
2026-04-04,1,0,0,0,0,0,0
2026-03-31,1,0,0,0,0,0,0
2026-03-30,1,0,0,0,0,0,0
2026-03-28,5,0,0,0,0,0,0
2026-03-27,1,0,0,1,0,0,0
2026-03-26,5,0,0,0,0,0,0
2026-03-24,2,2,0,0,0,0,0
2026-03-23,2,0,0,0,0,0,0
2026-03-20,1,0,0,0,0,0,0
2026-03-19,3,0,0,0,0,0,0
2026-03-17,1,0,0,0,0,0,0
2026-03-15,1,0,0,2,0,0,0
